name	indication	catagories	synonyms
Tioguanine	For remission induction and remission consolidation treatment of acute nonlymphocytic leukemias.	Thiopurine Analogs****spec****Antimetabolites, Antineoplastic****spec****	2-Amino 6mp****spec****2-Amino-1,7-dihydro-6H-purine-6-thione****spec****2-amino-1,9-Dihydropurine-6-thione****spec****2-amino-1H-purine-6(7H)-thione****spec****2-Amino-6-mercaptopurine****spec****2-Amino-6-merkaptopurin****spec****2-Amino-6-purinethiol****spec****2-Aminopurin-6-thiol****spec****2-aminopurine-6-thiol****spec****2-Aminopurine-6(1H)-thione****spec****6-Mercapto-2-aminopurine****spec****6-Mercaptoguanine****spec****6-TG****spec****6-Thioguanine****spec****TG****spec****ThG****spec****Thioguanine****spec****Tioguanin****spec****Tioguanina****spec****Tioguanine****spec****Tioguaninum****spec****
Methylergometrine	For the prevention and control of excessive bleeding following vaginal childbirth	Oxytocics****spec****	9,10-Didehydro-N-[1-(hydroxymethyl)-propyl]-D-lysergamide****spec****D-lysergic acid 1-butanolamide****spec****Ergotyl****spec****Methergine****spec****Methylergobasin****spec****Methylergometrin****spec****Méthylergométrine****spec****Methylergometrine****spec****Methylergometrinum****spec****Methylergonovine****spec****Metilergometrina****spec****
Buclizine	For prevention and treatment of nausea, vomiting, and dizziness associated with motion sickness and vertigo (dizziness caused by other medical problems).	Histamine Antagonists****spec****Cholinergic Antagonists****spec****	1-(P-Tert-butylbenzyl)-4-(4-chloro-alpha-phenylbenzyl)piperazine****spec****Buclizina****spec****Buclizine****spec****Buclizinum****spec****
Aztreonam	For the treatment of the following infections caused by susceptible gram-negative microorganisms: urinary tract infections, lower respiratory tract infections, septicemia, skin and skin-structure infections, intra-abdominal infections, and gynecologic infections.	Anti-Bacterial Agents****spec****	(Z,)-2-((((2-Amino-4-thiazolyl)(((2S,3S,)-2-methyl-4-oxo-1-sulfo-3-azetidinyl)carbamoyl)methylene)amino)oxy)-2-methylpropionic acid****spec****2-({[(1Z)-1-(2-amino-1,3-thiazol-4-yl) -2- {[(2S,3S)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino} -2- oxoethylidene]amino}oxy)-2-methylpropanoic acid****spec****Azactam****spec****Aztreonam****spec****Aztréonam****spec****Aztreonamum****spec****Primbactam****spec****
Chlorzoxazone	For the relief of discomfort associated with acute painful musculoskeletal conditions.	Muscle Relaxants, Central****spec****	2-hydroxy-5-chlorobenzoxazole****spec****5-chloro-2-Benzoxazolinone****spec****5-chloro-2-Benzoxazolol****spec****5-chloro-2-Benzoxazolone****spec****5-chloro-2-Hydroxybenzoxazole****spec****5-chloro-2(3H)-benzoxazolone****spec****5-chloro-3H-benzooxazol-2-one****spec****5-Chlorobenzoxazolidone****spec****5-chlorobenzoxazolin-2-one****spec****Chlorzoxane****spec****Chlorzoxazon****spec****Chlorzoxazona****spec****Chlorzoxazone****spec****Chlorzoxazonum****spec****Clorzoxazona****spec****Clorzoxazone****spec****
Aminoglutethimide	For the suppression of adrenal function in selected patients with Cushing's syndrome, malignant neoplasm of the female breast, and carcinoma in situ of the breast.	Antineoplastic Agents, Hormonal****spec****Aromatase Inhibitors****spec****	2-(p-Aminophenyl)-2-ethylglutarimide****spec****3-Ethyl-3-(P-aminophenyl)-2,6-dioxopiperidine****spec****alpha-(P-Aminophenyl)-alpha-ethylglutarimide****spec****Aminoglutethimid****spec****Aminoglutéthimide****spec****Aminoglutethimide****spec****Aminoglutethimidum****spec****Aminoglutetimida****spec****Aminoglutetimide****spec****Dl-Aminoglutethimide****spec****Elipten****spec****P-Aminoglutethimide****spec****
Mefloquine	For the treatment of mild to moderate acute malaria caused by Mefloquineuine-susceptible strains of <i>Plasmodium falciparum</i> (both chloroquine-susceptible and resistant strains) or by <i>Plasmodium vivax</i>. Also for the prophylaxis of <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections, including prophylaxis of chloroquine-resistant strains of <i>Plasmodium falciparum</i>.	Antimalarials****spec****	[(R*,S*)-2,8-bis(trifluoromethyl)quinolin-4-yl]-(2-piperidyl)methanol****spec****alpha-2-Piperidinyl-2,8-bis(trifluoromethyl)-4-quinolinemethanol****spec****Mefloquin****spec****Mefloquina****spec****Méfloquine****spec****Mefloquine****spec****Mefloquinum****spec****
Sulfadiazine	For the treatment of rheumatic fever and meningococcal meningitis	Antiprotozoal Agents****spec****Coccidiostats****spec****Anti-Infective Agents****spec****	2-sulfanilamidopyrimidine****spec****2-sulfanilylaminopyrimidine****spec****4-amino-N-2-pyrimidinylbenzenesulfonamide****spec****N(1)-2-Pyrimidinylsulfanilamide****spec****N(1)-2-Pyrimidylsulfanilamide****spec****N1-2-pyrimidinylsulfanilamide****spec****N1-2-pyrimidylsulfanilamide****spec****Sulfadiazina****spec****Sulfadiazine****spec****Sulfadiazinum****spec****Sulfapyrimidine****spec****Sulphadiazine****spec****
Tetrahydrobiopterin	For the treatment of tetrahydrobiopterin (BH4) deficiency.	Supplements****spec****Dietary Supplements****spec****	(6R)-2-Amino-6-[(1R,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydropteridin-4(1H)-one****spec****2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone****spec****5,6,7,8 Tetrahydrobiopterin****spec****5,6,7,8-Tetrahydrobiopterin****spec****BH4****spec****Sapropterin****spec****
Vinorelbine	For the treatment of non-small-cell lung carcinoma.	Antineoplastic Agents, Phytogenic****spec****	5'-Noranhydrovinblastine****spec****Nor-5'-anhydrovinblastine****spec****Vinorelbin****spec****Vinorelbina****spec****Vinorelbine****spec****Vinorelbinum****spec****
Anidulafungin	For use in the treatment of the following fungal infections: Candidemia and other forms of <i>Candida</i> infections (intra-abdominal abscess, and peritonitis), Aspergillus infections, and esophageal candidiasis. Also considered an alternative treatment for oropharyngeal canaidiasis.	Antifungal Agents****spec****	(4R,5R)-4,5-Dihydroxy-N²-[[4''-(pentyloxy)-p-terphenyl-4-yl]carbonyl]-L-ornithyl-L-threonyl-trans-4-hydroxy-L-prolyl-(S)-4-hydroxy-4(p-hydroxyphenyl)-L-threonyl-L-threonyl-(3S,4S)-3-hydroxy-4-methyl-L-proline cyclic (6->1)-peptide****spec****Anidulafungin****spec****Anidulafungina****spec****Anidulafungine****spec****Anidulafunginum****spec****Eraxis****spec****N-[(3S,6S,9S,11R,15S,18S,20R,21R,24S,25S,26S)-6-[(1S,2R)-1,2-dihydroxy-2-(4-hydroxyphenyl)ethyl]-11,20,21,25-tetrahydroxy-3,15-bis[(1R)-1-hydroxyethyl]-26-methyl-2,5,8,14,17,23-hexaoxo-1,4,7,13,16,22-hexaazatricyclo[22.3.0.09,13]heptacosan-18-yl]- 4-{4-[4-(pentyloxy)phenyl]phenyl}benzamide****spec****V-Echinocandin****spec****
Clozapine	For use in patients with treatment-resistant schizophrenia.	Antipsychotic Agents****spec****Serotonin Antagonists****spec****GABA Antagonists****spec****	Clozapin****spec****Clozapina****spec****Clozapine****spec****Clozapinum****spec****
Sucralfate	For the short-term treatment (up to 8 weeks) of active duodenal ulcer, as well as maintenance therapy for duodenal ulcer patients at reduced dosage (1 gram twice a day) after healing of acute ulcers. Also used for the short-term treatment of gastric ulcer.		Hexadeca-μ-hydroxytetracosahydroxy[μ8-[1,3,4,6-tetra-O-sulfo-β-Dfructofuranosyl-α-D-glucopyranoside tetrakis(hydrogen sulfato)8-)]]hexadecaaluminum****spec****Sucralfat****spec****Sucralfate****spec****Sucralfato****spec****Sucralfatum****spec****
Doxylamine	Used alone as a short-term sleep aid, in combination with other drugs as a night-time cold and allergy relief drug. Also used in combination with Vitamin B6 (pyridoxine) to prevent morning sickness in pregnant women.	Histamine H1 Antagonists****spec****Antiemetics****spec****	2-(alpha-(2-(Dimethylamino)ethoxy)-alpha-methylbenzyl)pyridine****spec****2-Dimethylaminoethoxyphenylmethyl-2-picoline****spec****Dossilamina****spec****Doxilamina****spec****Doxilminio****spec****Doxylaminum****spec****N,N-Dimethyl-2-(1-phenyl-1-(2-pyridinyl)ethoxy)ethanamine****spec****Phenyl-2-pyridylmethyl-beta-N,N-dimethylaminoethyl ether****spec****
Levonorgestrel	For the treatment of menopausal and postmenopausal disorders and alone or in combination with other hormones as an oral contraceptive.	Contraceptives, Oral, Synthetic****spec****Contraceptive Agents****spec****Contraceptive Agents, Female****spec****	(-)-13-Ethyl-17-hydroxy-18,19-dinor-17alpha-pregn-4-en-20-yn-3-one****spec****(8R,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-17-hydroxy- 1,2,6,7,8,9,10,11,12,13,14,15,16, 17- tetradecahydrocyclopenta[a] phenanthren-3-one****spec****13-beta-Ethyl-17alpha-ethynyl-17beta-hydroxygon-4-en-3-one****spec****13-Ethyl-17-alpha-ethynyl-17-beta-hydroxy-4-gonen-3-one****spec****13-Ethyl-17-alpha-ethynylgon-4-en-17-beta-ol-3-one****spec****17-alpha-Ethinyl-13-beta-ethyl-17-beta-hydroxy-4-estren-3-one****spec****17-alpha-Ethynyl-13-ethyl-19-nortestosterone****spec****17-Ethynyl-18-methyl-19-nortestosterone****spec****17alpha-Ethynyl-13beta-ethyl-3-oxo-4-estren-17beta-ol****spec****17alpha-Ethynyl-17-hydroxy-18-methylestr-4-en-3-one****spec****17alpha-Ethynyl-18-homo-19-nortestosterone****spec****18-Methyl-17-alpha-ethynyl-19-nortestosterone****spec****18-Methylnorethisterone****spec****d(-)-Norgestrel****spec****Jadelle****spec****Levonelle****spec****Levonorgestrel****spec****Lévonorgestrel****spec****Levonorgestrelum****spec****Levonova****spec****Microlut****spec****Microluton****spec****Microval****spec****Mirena****spec****NorLevo****spec****Plan b****spec****Postinor****spec****
Norepinephrine	Mainly used to treat patients in vasodilatory shock states such as septic shock and neurogenic shock and has shown a survival benefit over dopamine. Also used as a vasopressor medication for patients with critical hypotension.	Sympathomimetics****spec****Adrenergic alpha-Agonists****spec****Vasoconstrictor Agents****spec****	(-)-Arterenol****spec****(-)-Noradrenaline****spec****(-)-Norepinephrine****spec****(R)-(-)-Norepinephrine****spec****(R)-4-(2-amino-1-Hydroxyethyl)-1,2-benzenediol****spec****(R)-Norepinephrine****spec****4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol****spec****Arterenol****spec****L-noradrenaline****spec****L-Norepinephrine****spec****Nor-adrenaline****spec****Noradrenaline****spec****Norepinefrina****spec****Norepinephrine****spec****Norepinephrinum****spec****
Cidofovir	For the treatment of CMV retinitis in patients with acquired immunodeficiency syndrome (AIDS)	Antiviral Agents****spec****Radiation-Sensitizing Agents****spec****Antineoplastic Agents****spec****Anti-HIV Agents****spec****	({[(S)-1-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3-hydroxypropan-2-yl]oxy}methyl)phosphonic acid****spec****(S)-(3-(4-amino-2-Oxopyrimidin-1(2H)-yl)-1-hydroxypropan-2-yloxy)methylphosphonic acid****spec****(S)-1-(3-Hydroxy-2-phosphonomethoxypropyl)cytosine****spec****(S)-1-[3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine****spec****(S)-1-[3-Hydroxy-2-(phosphonylmethoxy)propyl]cytosine****spec****(S)-HPMPC****spec****[(S)-2-(4-Amino-2-oxo-2H-pyrimidin-1-yl)-1-hydroxymethyl-ethoxymethyl]-phosphonic acid****spec****[[(S)-2-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1-(hydroxymethyl)ethoxy]methyl]phosphonic acid ****spec****1-(S)-[3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine****spec****1-[(S)-3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine****spec****CDV****spec****Cidofovir****spec****Cidofovir anhydrous****spec****Cidofovirum****spec****
Mirtazapine	For the treatment of major depressive disorder.	Histamine H1 Antagonists****spec****Antidepressive Agents, Tricyclic****spec****Adrenergic alpha-Antagonists****spec****	1,2,3,4,10,14b-Hexahydro-2-methylpyrazino(2,1-a)pyrido(2,3-c)benzazepine****spec****6-Azamianserin****spec****Mepirzapine****spec****Mirtazapin****spec****Mirtazapina****spec****Mirtazapine****spec****Mirtazapinum****spec****
Meprobamate	For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety.	Muscle Relaxants, Central****spec****Anti-Anxiety Agents****spec****Hypnotics and Sedatives****spec****Anticonvulsants****spec****	Equanil****spec****Meprobamat****spec****Meprobamato****spec****Meprobamatum****spec****Meprobamic acid****spec****Miltown****spec****
Timolol	In its oral form it is used to treat high blood pressure and prevent heart attacks, and occasionally to prevent migraine headaches. In its opthalmic form it is used to treat open-angle and occasionally secondary glaucoma.	Antihypertensive Agents****spec****Adrenergic beta-Antagonists****spec****Anti-Arrhythmia Agents****spec****	(S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol****spec****Timolol****spec****Timololo****spec****Timololum****spec****
Treprostinil	For use as a continuous subcutaneous infusion or intravenous infusion (for those not able to tolerate a subcutaneous infusion) for the treatment of pulmonary arterial hypertension in patients with NYHA Class II-IV symptoms to diminish symptoms associated with exercise.	Antithrombins****spec****Anticoagulants****spec****Prostacyclin Analogues****spec****	(1R,2R,3aS,9aS)-[[2,3,3a,4,9,9a-hexahydro-2-hydroxy- 1-[(3S)-3-hydroxyoctyl]-1H-benz[f]inden-5-yl] oxy]acetic acid****spec****[[(1R,2R,3aS,9aS)-2-Hydroxy-1-[(3S)-3-hydroxyoctyl]-2,3,3a,4,9,9a-hexahydro-1H-cyclopenta[b]naphtalen-5-yl]oxy]acetic acid****spec****Treprostinil****spec****Treprostinilo****spec****Treprostinilum****spec****Uniprost****spec****
Colestipol	For use, as adjunctive therapy to diet, for the reduction of elevated serum total and LDL-C in patients with primary hypercholesterolemia (elevated LDL-C) who do not respond adequately to diet.	Anion Exchange Resins****spec****Hypolipidemic Agents****spec****	Colestipolum****spec****Copolymer of bis(2-aminoethyl)amine and 2-(chloromethyl)oxirane****spec****Epichlorohydrin-tetraethylenepentamine polymer****spec****
Trihexyphenidyl	Indicated for the treatment of parkinson's disease and extrapyramidal reactions caused by drugs.	Muscarinic Antagonists****spec****Antiparkinson Agents****spec****Antidyskinetics****spec****	(RS)-1-cyclohexyl-1-phenyl-3-(1-piperidyl)propan-1-ol****spec****Apo-trihex****spec****Benzhexol Hydrochloride****spec****Trihexifenidilo****spec****Trihexyphenidyl****spec****Trihexyphénidyle****spec****Trihexyphenidylum****spec****
Palonosetron	For the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of moderately emetogenic cancer chemotherapy, as well as prevention of acute nausea and vomiting associated with highly emetogenic cancer chemotherapy. Also used for the prevention of postoperative nausea and vomiting for up to 24 hours post operation.		(3aS)-2-[(3S)-1-azabicyclo[2.2.2]oct-3-yl]-2,3,3a, 4,5,6-hexahydro-1H-benz[de]isoquinolin-1-one****spec****(3aS)-2,3,3a,4,5,6-hexahydro-2-[(3S)-3-quinuclidinyl]-1H-benz[de]isoquinolin-1-one****spec****Palonosetron****spec****Palonosétron****spec****Palonosetrón****spec****Palonosetronum****spec****
Dydrogesterone	Used to treat irregular duration of cycles and irregular occurrence and duration of periods caused by progesterone deficiency. Also used to prevent natural abortion in patients who have a history of habitual abortions.	Progesterones****spec****Progestins****spec****	(9β,10α)-pregna-4,6-diene-3,20-dione****spec****10alpha-Isopregnenone****spec****6-Dehydro-retro-progesterone****spec****9β,10α-pregna-4,6-diene-3,20-dione****spec****delta(6)-Retroprogesterone****spec****delta(Sup 6)-retroprogesterone****spec****Didrogesterona****spec****Didrogesterone****spec****Dydrogesterona****spec****Dydrogestérone ****spec****Dydrogesterone****spec****Dydrogesteronum****spec****Gestatron****spec****Hydrogesterone****spec****Hydrogestrone****spec****Isopregnenone****spec****Retro-6-dehydroprogesterone****spec****
Mexiletine	For the treatment of ventricular tachycardia and symptomatic premature ventricular beats, and prevention of ventricular fibrillation.	CYP1A2 Inhibitors (Strong)****spec****Anti-Arrhythmia Agents****spec****Voltage-Gated Sodium Channel Blockers****spec****	(+-)-1-(2,6-Dimethylphenoxy)propan-2-amine****spec****(2RS)-1-(2,6-dimethylphenoxy)-2-aminopropane****spec****1-(2,6-Dimethylphenoxy)-2-propanamine****spec****1-(2',6'-Dimethylphenoxy)-2-aminopropane****spec****1-Methyl-2-(2,6-xylyloxy)ethanamine****spec****Mexiletina****spec****Mexilétine****spec****Mexiletinum****spec****
Dexrazoxane	For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin hydrochloride dose of 300 mg/m^2 and would benefit from continued doxorubicin therapy. Also approved for the treatment of extravasation from intravenous anthracyclines.	Cardiovascular Agents****spec****Antineoplastic Agents****spec****Chelating Agents****spec****	(+)-(S)-4,4'-Propylenedi-2,6-piperazinedione****spec****(+)-1,2-Bis(3,5-dioxo-1-piperazinyl)propane****spec****4-[(2S)-2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione****spec****Dexrazoxan****spec****Dexrazoxane****spec****Dexrazoxano****spec****Dexrazoxanum****spec****Dextrorazoxane****spec****
Amlodipine	For the treatment of hypertension and chronic stable angina.	Antihypertensive Agents****spec****Calcium Channel Blockers (Dihydropyridine)****spec****Vasodilator Agents****spec****Antianginal Agents****spec****Calcium Channel Blockers****spec****	(RS)-3-ethyl 5-methyl 2-[(2-aminoethoxy)methyl]-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate****spec****3-Ethyl 5-methylester, (±)-2-[(2-aminoethoxy)methyl]-4-(o-chlorophenyl)-1,4-dihydro-6-methyl-3,5-pyridinedicarboxylate****spec****3-Ethyl-5-methyl (+-)-2-(2-aminoethoxymethyl)-4-(O-chlorophenyl)-1,4-dihydro-6-methyl-3,5-pyridinedicarboxylate****spec****Amlodipine****spec****Amlodipine free base****spec****Amlodipino****spec****Amlodipinum****spec****
Oxyphencyclimine	For the treatment of peptic ulcer disease and the relief of smooth muscle spasms in gastrointestinal disorders.	Cholinergic Antagonists****spec****Antispasmodics****spec****	Oxifencicliminum****spec****Oxyphencyclimine****spec****Oxyphencycliminum****spec****
Triamterene	For the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and the nephrotic syndrome; also in steroid-induced edema, idiopathic edema, and edema due to secondary hyperaldosteronism.	Diuretics****spec****Epithelial Sodium Channel Blockers****spec****Potassium-Sparing Diuretics****spec****	6-phenylpteridine-2,4,7-triamine****spec****Dyrenium****spec****Teridin****spec****Triamteren****spec****Triamtérène****spec****Triamterene****spec****Triamtereno****spec****Triamterenum****spec****
Valrubicin	For the treatment of cancer of the bladder.		(8S, 10S)-8-glycoloyl-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-10-[[2,3,6-trideoxy-3-(2,2,2-trifluoroacetamido)-α-L-lyxo-hexopyranosyl]oxy]-5,12-naphthacenedione 8²-valerate ****spec****2-oxo-2-[(2S,4S)-2,5,12-trihydroxy-7-methoxy-6,11-dioxo-4-({2,3,6-trideoxy-3-[(trifluoroacetyl)amino]hexopyranosyl}oxy)-1,2,3,4,6,11-hexahydrotetracen-2-yl]ethyl pentanoate****spec****Valrubicin****spec****Valrubicina****spec****Valrubicine****spec****Valrubicinum****spec****Valstar****spec****
Procyclidine	For the treatment of all forms of Parkinson's Disease, as well as control of extrapyramidal reactions induced by antipsychotic agents.	Muscarinic Antagonists****spec****Antiparkinson Agents****spec****Antidyskinetics****spec****	1-cyclohexyl-1-phenyl-3-pyrrolidin-1-yl-propan-1-ol hydrochloride****spec****1-Cyclohexyl-1-phenyl-3-pyrrolidino-1-propanol****spec****Prociclidina****spec****Procyclidin****spec****Procyclidine****spec****Procyclidinum****spec****Tricyclamol****spec****
Phenylephrine	Phenylephrine is mainly used to treat nasal congestion, but may also be useful in treating hypotension and shock, hypotension during spinal anaesthesia, prolongation of spinal anaesthesia, paroxysmal supraventricular tachycardia, symptomatic relief of external or internal hemorrhoids, and to increase blood pressure as an aid in the diagnosis of heart murmurs. 	Sympathomimetics****spec****Mydriatics****spec****Cardiotonic Agents****spec****Nasal Decongestants****spec****Vasoconstrictor Agents****spec****Adrenergic alpha-1 Receptor Agonists****spec****	(-)-m-Hydroxy-alpha-(methylaminomethyl)benzyl alcohol****spec****(-)-m-Hydroxy-α-(methylaminomethyl)benzyl alcohol****spec****Benzenemethanol, 3-hydroxy-.alpha.-[(methylamino)methyl]-, (R)-****spec****Benzenemethanol, 3-hydroxy-alpha-((methylamino)methyl)-, (R)-****spec****Benzyl alcohol, m-hydroxy-alpha-((methylamino)methyl)-, (-)-****spec****Fenilefrina****spec****l-(3-Hydroxyphenyl)-N-methylethanolamine****spec****Phenylephrine****spec****Phenylephrinum****spec****R(-)-Phenylephrine****spec****
Carbimazole	For the treatment of hyperthyroidism and thyrotoxicosis. It is also used to prepare patients for thyroidectomy.	Antithyroid Agents****spec****	1H-Imidazole-1-carboxylic acid, 2,3-dihydro-3-methyl-2-thioxo-, ethyl ester  Ethyl 3-methyl-2-thioimidazoline-1-carboxylate****spec****Athyromazole****spec****Carbethoxymethimazole****spec****Carbimazol****spec****Carbimazolo****spec****Carbimazolum****spec****Carbinazole****spec****Ethyl 3-methyl-2-thioimidazoline-1-carboxylate****spec****Thyrostat****spec****
Digoxin	For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure.	Cardiotonic Agents****spec****Enzyme Inhibitors****spec****Anti-Arrhythmia Agents****spec****	12beta-Hydroxydigitoxin****spec****12β-hydroxydigitoxin****spec****4-[(3S,5R,8R,9S,10S,12R,13S,14S)-3-[(2S,4S,5R,6R)-5-[(2S,4S,5R,6R)-5-[(2S,4S,5R,6R)-4,5-dihydroxy-6-methyl-oxan-2-yl]oxy-4-hydroxy-6-methyl-oxan-2-yl]oxy-4-hydroxy-6-methyl-oxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-5H-furan-2-one****spec****Digazolan****spec****Digossina****spec****Digoxin****spec****Digoxina****spec****Digoxine****spec****Digoxinum****spec****Lanadicor****spec****
Sulpiride	Sulpiride is indicated for the treatment of schizophrenia.	Antipsychotic Agents****spec****Antidepressive Agents, Second-Generation****spec****Antidepressive Agents****spec****Dopamine Antagonists****spec****	(+-)-Sulpiride****spec****5-(Aminosulfonyl)-N-((1-ethyl-2-pyrrolidinyl)methyl)-2-methoxybenzamide****spec****Levosulpirida****spec****Levosulpiride****spec****Levosulpiridum****spec****N-((1-Ethyl-2-pyrrolidinyl)methyl)-2-methoxy-5-sulfamoylbenzamide****spec****N-((1-Ethyl-2-pyrrolidinyl)methyl)-5-sulfamoyl-O-anisamide****spec****Sulpirid****spec****Sulpirida****spec****Sulpiridum****spec****Sulpyrid****spec****
Ethopropazine	For use in the treatment of Parkinson's disease and also used to control severe reactions to certain medicines such as reserpine.	Muscarinic Antagonists****spec****Adrenergic Antagonists****spec****Histamine Antagonists****spec****Antidyskinetics****spec****	10-(2-Diethylaminopropyl)phenothiazine****spec****10-[2-(Diethylamino)-1-propyl]phenothiazine****spec****10-[2-(Diethylamino)-2-methylethyl]phenothiazine****spec****10-[2-(Diethylamino)propyl]phenothiazine****spec****2-Diethylamino-1-propyl-N-dibenzoparathiazine****spec****Ethopropazine****spec****N,N-Diethyl-1-(10H-phenothiazin-10-yl)-2-propanamine****spec****N,N-Diethyl-alpha-methyl-10H-phenothiazine-10-ethanamine****spec****Profenamina****spec****Profenamine****spec****Profenaminum****spec****
Nimodipine	For use as an adjunct to improve neurologic outcome following subarachnoid hemorrhage (SAH) from ruptured intracranial berry aneurysms by reducing the incidence and severity of ischemic deficits.	Antihypertensive Agents****spec****Vasodilator Agents****spec****Calcium Channel Blockers****spec****	2,6-Dimethyl-4-(3'-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylic acid 3-beta-methoxyethyl ester 5-isopropyl ester****spec****BAY e 9736****spec****Isopropyl 2-methoxyethyl 1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylate****spec****Isopropyl 2-methoxyethyl 1,4-dihydro-2,6-dimethyl-4-(m-nitrophenyl)-3,5-pyridinedicarboxylate****spec****Nimodipine****spec****Nimodipino****spec****Nimodipinum****spec****Nimotop****spec****Periplum****spec****
Beclomethasone	Used in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older, and in treating symptoms for allergic rhinitis (seasonal or perennial) in patients 12 years of age and older. Also being investigated for oral treatment in mild-to-moderate Crohn's disease of ileal or ileal-right colonic localisation and for "topical" use mild-to-moderate graft versus host disease.	Corticosteroids****spec****Anti-Arrhythmia Agents****spec****	(11beta,16beta)-9-chloro-11-Hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione****spec****9-chloro-11beta-Hydroxy-16beta-methylpregna-1,4-diene-3,20-dione 17,21-dipropionate****spec****9-chloro-11β,17,21-trihydroxy-16β-methylpregna-1,4-diene-3,20-dione****spec****9-chloro-16beta-Methyl-11beta,17,21-trihydroxypregna-1,4-diene-3,20-dione 17,21-dipropionate****spec****9α-chloro-16β-methylprednisolone****spec****Aerobec****spec****Aldecin****spec****Anceron****spec****Andion****spec****Beclacin****spec****Becloforte****spec****Beclomet****spec****Beclometasone****spec****Beclometasone 17,21-dipropionate****spec****Beclometasone dipropionate****spec****Beclomethasone dipropionate****spec****Beclorhinol****spec****Becloval****spec****Beclovent****spec****Becodisks****spec****Beconase****spec****Beconasol****spec****Becotide****spec****Clenil-a****spec****Entyderma****spec****Inalone****spec****Korbutone****spec****Propaderm****spec****Rino-clenil****spec****Sanasthmax****spec****Sanasthmyl****spec****Vancenase****spec****Vanceril****spec****Viarex****spec****Viarox****spec****
Carisoprodol	For the relief of discomfort associated with acute, painful, musculoskeletal conditions.	Muscle Relaxants, Central****spec****Neuromuscular Agents****spec****Muscle Relaxants, Skeletal****spec****	(+-)-2-Methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate****spec****(1-Methylethyl)carbamic acid 2-(((aminocarbonyl)oxy)methyl)-2-methylpentyl ester****spec****(RS)-2-{[(aminocarbonyl)oxy]methyl}-2-methylpentyl isopropylcarbamate****spec****2-Methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate****spec****2-Methyl-2-propyltrimethylene carbamate isopropylcarbamate****spec****Carbamic acid 2-isopropylcarbamoyloxymethyl-2-methyl-pentyl ester****spec****Carisoprodate****spec****Carisoprodol****spec****Carisoprodolum****spec****Isobamate****spec****Isomeprobamate****spec****Isopropyl meprobamate****spec****Isopropylmeprobamate****spec****N-Isopropy-2-methyl-2-propyl-1,3-propanediol dicarbamate****spec****Someprobamate****spec****
Progesterone	For progesterone supplementation or replacement as part of an Assisted Reproductive Technology (ART) treatment for infertile women with progesterone deficiency and for the treatment of secondary amenorrhea. Also used for the reduction of the incidence of endometrial hyperplasia and the attendant risk of endometrial carcinoma in postmenopausal women receiving estrogen replacement therapy, as well as treatment of abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology such as fibroids or uterine cancer.	Contraceptive Agents****spec****Progestins****spec****	(S)-4-Pregnene-3,20-dione****spec****(S)-Pregn-4-en-3,20-dione****spec****(S)-Progesterone****spec****17alpha-Progesterone****spec****17α-progesterone****spec****4-Pregnene-3,20-dione****spec****Agolutin****spec****Akrolutin****spec****Corpus Luteum Hormone****spec****Crinone****spec****delta(4)-Pregnene-3,20-dione****spec****Gelbkoerperhormon****spec****Luteohormone****spec****Lutogynon****spec****Pregn-4-ene-3,20-dione****spec****Progesteron****spec****Progesterona****spec****Progestérone****spec****Progesterone****spec****Progesteronum****spec****
